index,Date,Price,Open,High,Low,Volume,Chg%,NIFTY
1,01-Jan-20,71.227,71.365,71.377,71.225,1.16K,-0.18%,12182.50
2,02-Jan-20,71.35,71.235,71.408,71.235,4.63K,0.17%,12282.20
3,03-Jan-20,71.77,71.61,71.844,71.52,7.49K,0.59%,12226.65
4,06-Jan-20,71.867,72.011,72.123,71.834,7.44K,0.14%,11993.05
5,07-Jan-20,71.845,71.765,71.923,71.67,6.69K,-0.03%,12052.95
6,08-Jan-20,71.51,71.954,72.114,71.466,7.40K,-0.47%,12025.35
7,09-Jan-20,71.21,71.51,71.544,71.134,7.00K,-0.42%,12215.90
8,10-Jan-20,70.96,71.24,71.26,70.848,7.39K,-0.35%,12256.80
9,13-Jan-20,70.71,70.805,70.945,70.71,6.16K,-0.35%,12329.55
10,14-Jan-20,70.85,70.72,70.975,70.72,6.81K,0.20%,12362.30
11,15-Jan-20,70.72,71,71.023,70.682,5.32K,-0.18%,12343.30
12,16-Jan-20,70.978,70.775,71.007,70.775,6.30K,0.36%,12355.50
13,17-Jan-20,71.079,70.953,71.099,70.933,6.69K,0.14%,12352.35
14,20-Jan-20,71.04,71.07,71.16,71.01,5.07K,-0.05%,12224.55
15,21-Jan-20,71.17,71.19,71.25,71.121,3.97K,0.18%,12169.85
16,22-Jan-20,71.08,71.18,71.265,71.076,5.63K,-0.13%,12106.90
17,23-Jan-20,71.4,71.19,71.465,71.169,6.19K,0.45%,12180.35
18,24-Jan-20,71.33,71.34,71.371,71.22,3.39K,-0.10%,12248.25
19,27-Jan-20,71.45,71.475,71.52,71.373,5.00K,0.17%,12119.00
20,28-Jan-20,71.2,71.432,71.432,71.2,6.62K,-0.35%,12055.80
21,29-Jan-20,71.31,71.24,71.411,71.165,7.10K,0.15%,12129.50
22,30-Jan-20,71.55,71.42,71.66,71.39,3.41K,0.34%,12035.80
23,31-Jan-20,71.555,71.575,71.578,71.294,8.25K,0.01%,11962.10
24,03-Feb-20,71.324,71.523,71.653,71.268,7.48K,-0.32%,11661.85
25,04-Feb-20,71.115,71.215,71.298,71.09,6.65K,-0.29%,11707.90
26,05-Feb-20,71.19,71.11,71.3,71.11,4.24K,0.11%,11979.65
27,06-Feb-20,71.225,71.181,71.3,71.107,6.37K,0.05%,12089.15
28,07-Feb-20,71.515,71.26,71.538,71.213,6.21K,0.41%,12137.95
29,10-Feb-20,71.29,71.4,71.457,71.285,8.31K,-0.31%,12098.35
30,11-Feb-20,71.285,71.235,71.33,71.179,6.17K,-0.01%,12031.50
31,12-Feb-20,71.306,71.211,71.391,71.211,5.72K,0.03%,12107.90
32,13-Feb-20,71.33,71.36,71.511,71.254,4.53K,0.03%,12201.20
33,14-Feb-20,71.529,71.294,71.597,71.272,6.80K,0.28%,12174.65
34,17-Feb-20,71.34,71.43,71.507,71.26,5.36K,-0.26%,12113.45
35,18-Feb-20,71.585,71.415,71.611,71.375,4.96K,0.34%,12045.80
36,19-Feb-20,71.6,71.573,71.6,71.452,0.29K,0.02%,11992.50
37,20-Feb-20,71.68,71.735,71.82,71.53,4.76K,0.11%,12125.90
38,21-Feb-20,71.88,71.665,72.056,71.665,0.16K,0.28%,12080.85
39,24-Feb-20,71.935,71.915,72.015,71.775,4.46K,0.08%,11829.40
40,25-Feb-20,71.82,71.87,71.92,71.611,4.83K,-0.16%,11797.90
41,26-Feb-20,71.58,71.833,71.873,71.532,5.63K,-0.33%,11678.50
42,27-Feb-20,71.655,71.645,71.704,71.545,5.35K,0.10%,11633.30
43,28-Feb-20,72.539,71.755,72.574,71.755,6.59K,1.23%,11201.75
44,02-Mar-20,72.882,72.52,72.954,72.028,6.08K,0.47%,11132.75
45,03-Mar-20,73.05,72.48,73.397,72.44,6.74K,0.23%,11303.30
46,04-Mar-20,73.54,73.06,73.64,72.91,7.57K,0.67%,11251.00
47,05-Mar-20,73.506,73.518,73.565,73.044,1.92K,-0.05%,11269.00
48,06-Mar-20,74.004,73.873,74.073,73.529,1.47K,0.68%,10989.45
49,09-Mar-20,74.196,73.975,74.254,73.85,6.07K,0.26%,10451.45
50,10-Mar-20,74.15,74.248,74.248,74.15,0.01K,-0.06%,10458.40
51,11-Mar-20,73.682,73.792,74.015,73.532,6.53K,-0.63%,9590.15
52,12-Mar-20,74.576,74.134,74.579,74.074,5.86K,1.21%,9955.20
53,13-Mar-20,73.84,74.561,74.561,73.732,5.26K,-0.99%,9197.40
54,16-Mar-20,74.003,74.006,74.359,73.999,4.32K,0.22%,8967.05
55,17-Mar-20,74.062,74.072,74.315,73.858,5.21K,0.08%,8468.80
56,18-Mar-20,74.55,73.974,74.55,73.924,5.63K,0.66%,8263.45
57,19-Mar-20,74.786,74.855,75.311,74.667,4.71K,0.32%,8745.45
58,20-Mar-20,75.399,74.804,75.399,74.704,4.98K,0.82%,7610.25
59,23-Mar-20,76.335,75.38,76.335,75.38,2.39K,1.24%,7801.05
60,24-Mar-20,76.379,76.079,76.386,75.95,2.04K,0.06%,8317.85
61,25-Mar-20,76.375,76.375,76.375,76.375,0,-0.01%,8641.45
62,26-Mar-20,74.889,75.864,75.954,74.889,2.33K,-1.95%,8660.25
63,27-Mar-20,75.472,74.603,75.528,74.353,0.36K,0.78%,8281.10
64,30-Mar-20,75.41,75.14,75.67,75.093,1.86K,-0.08%,8597.75
65,31-Mar-20,75.343,75.53,75.685,75.28,2.06K,-0.09%,8253.80
66,01-Apr-20,76.404,75.315,76.422,75.315,0.05K,1.41%,8083.80
67,02-Apr-20,76.4,76.387,76.431,76.346,0.08K,-0.01%,8792.20
68,03-Apr-20,76.24,75.954,76.304,75.764,2.65K,-0.21%,8748.75
69,06-Apr-20,75.975,76.253,76.268,75.902,0.10K,-0.35%,9111.90
70,07-Apr-20,75.645,75.988,76.008,75.543,1.99K,-0.43%,8993.85
71,08-Apr-20,75.945,75.638,76.405,75.638,1.77K,0.40%,8925.30
72,09-Apr-20,76.3,76.103,76.555,76.019,2.32K,0.47%,8992.80
73,10-Apr-20,75.879,75.903,75.937,75.849,0.08K,-0.55%,9266.75
74,13-Apr-20,76.249,75.881,76.449,75.881,1.96K,0.49%,9261.85
75,14-Apr-20,76.015,76.321,76.376,76.015,0.32K,-0.31%,8981.45
76,15-Apr-20,76.564,76.038,76.654,75.936,2.78K,0.72%,9187.30
77,16-Apr-20,76.805,76.638,76.927,76.563,2.43K,0.31%,9313.90
78,17-Apr-20,76.55,76.829,76.829,76.238,2.48K,-0.33%,9154.40
79,20-Apr-20,76.575,76.553,76.68,76.283,0.83K,0.03%,9282.30
80,21-Apr-20,76.975,76.585,77.006,76.585,0.93K,0.52%,9380.90
81,22-Apr-20,76.41,76.938,77.018,76.41,0.83K,-0.73%,9553.35
82,23-Apr-20,75.895,76.468,76.468,75.826,2.86K,-0.67%,9859.90
83,24-Apr-20,76.27,75.825,76.488,75.825,2.77K,0.49%,9293.50
84,27-Apr-20,76.229,76.27,76.347,76.019,2.45K,-0.05%,9205.60
85,28-Apr-20,76.065,76.127,76.45,75.815,2.52K,-0.22%,9270.90
86,29-Apr-20,75.455,76.063,76.11,75.455,3.28K,-0.80%,9199.05
87,30-Apr-20,75.08,75.405,75.43,74.91,3.69K,-0.50%,9251.50
88,01-May-20,75.749,75.32,75.805,75.294,0.54K,0.89%,9239.20
89,04-May-20,75.64,75.758,75.82,75.581,3.44K,-0.14%,9196.55
90,05-May-20,75.71,75.65,75.87,75.489,3.75K,0.09%,9383.55
91,06-May-20,76.105,75.828,76.111,75.653,3.51K,0.52%,9142.75
